Date,Resource_ID,Department,Service_Type,Region,Daily_Cost_USD,Avg_CPU_Utilization_Pct
2025-05-25,res-1045,Production,Compute (EC2/VMs),eu-west-1,59.11,27.79
2025-05-25,res-1046,Production,Compute (EC2/VMs),us-east-1,24.8,53.77
2025-05-25,res-1047,Testing,Compute (EC2/VMs),ap-south-1,85.35,9.12
2025-05-25,res-1048,Production,Networking,ap-south-1,23.93,0.0
2025-05-25,res-1049,Data Science,Database (RDS/SQL),eu-west-1,277.07,21.98
2025-05-25,res-1050,Testing,Compute (EC2/VMs),ap-south-1,38.84,44.16
2025-05-26,res-1001,Testing,Networking,us-east-1,59.28,0.0
2025-05-26,res-1002,Testing,Database (RDS/SQL),ap-south-1,110.51,43.61
2025-05-26,res-1003,Production,Compute (EC2/VMs),eu-west-1,119.01,24.01
2025-05-26,res-1004,Development,Database (RDS/SQL),eu-west-1,232.05,28.39
2025-05-26,res-1005,Testing,Database (RDS/SQL),ap-south-1,330.37,1.27
2025-05-26,res-1006,Production,Networking,ap-south-1,51.77,0.0
2025-05-26,res-1007,Data Science,Database (RDS/SQL),us-west-2,130.2,19.33
2025-05-26,res-1008,Production,Storage (S3/Blob),ap-south-1,6.43,0.0
2025-05-26,res-1009,Data Science,Storage (S3/Blob),us-west-2,25.68,0.0
2025-05-26,res-1010,Development,Networking,ap-south-1,43.88,0.0
2025-05-26,res-1011,Production,Compute (EC2/VMs),ap-south-1,22.16,45.97
2025-05-26,res-1012,Development,Storage (S3/Blob),us-east-1,346.78,1.52
2025-05-26,res-1013,Data Science,Compute (EC2/VMs),us-east-1,109.82,35.94
2025-05-26,res-1014,Testing,Database (RDS/SQL),eu-west-1,284.18,16.88
2025-05-26,res-1015,Development,Networking,ap-south-1,27.05,0.0
2025-05-26,res-1016,Data Science,Networking,eu-west-1,15.67,0.0
2025-05-26,res-1017,Development,Storage (S3/Blob),eu-west-1,37.36,0.0
2025-05-26,res-1018,Development,Database (RDS/SQL),ap-south-1,269.33,22.9
2025-05-26,res-1019,Testing,Networking,ap-south-1,43.0,0.0
2025-05-26,res-1020,Production,Database (RDS/SQL),us-east-1,254.31,37.76
2025-05-26,res-1021,Testing,Database (RDS/SQL),us-east-1,182.41,22.09
2025-05-26,res-1022,Production,Database (RDS/SQL),us-west-2,73.28,54.86
2025-05-26,res-1023,Data Science,Compute (EC2/VMs),ap-south-1,137.05,55.65
2025-05-26,res-1024,Development,Storage (S3/Blob),us-west-2,16.87,0.0
2025-05-26,res-1025,Production,Storage (S3/Blob),us-east-1,17.22,0.0
2025-05-26,res-1026,Development,Networking,ap-south-1,46.3,0.0
2025-05-26,res-1027,Testing,Networking,eu-west-1,54.86,0.0
2025-05-26,res-1028,Data Science,Compute (EC2/VMs),ap-south-1,135.32,67.39
2025-05-26,res-1029,Testing,Database (RDS/SQL),us-west-2,210.51,14.21
2025-05-26,res-1030,Production,Networking,us-west-2,18.08,0.0
2025-05-26,res-1031,Data Science,Networking,us-west-2,54.93,0.0
2025-05-26,res-1032,Development,Storage (S3/Blob),us-west-2,26.23,0.0
2025-05-26,res-1033,Development,Networking,us-west-2,10.46,0.0
2025-05-26,res-1034,Production,Database (RDS/SQL),us-west-2,75.37,43.18
2025-05-26,res-1035,Development,Networking,us-west-2,10.25,0.0
2025-05-26,res-1036,Development,Storage (S3/Blob),ap-south-1,10.63,0.0
2025-05-26,res-1037,Development,Database (RDS/SQL),ap-south-1,187.18,44.59
2025-05-26,res-1038,Testing,Networking,us-west-2,42.6,0.0
2025-05-26,res-1039,Testing,Networking,us-east-1,21.21,0.0
2025-05-26,res-1040,Development,Networking,us-east-1,45.61,0.0
2025-05-26,res-1041,Data Science,Compute (EC2/VMs),us-west-2,50.84,31.03
2025-05-26,res-1042,Testing,Compute (EC2/VMs),ap-south-1,117.04,56.97
2025-05-26,res-1043,Development,Compute (EC2/VMs),ap-south-1,130.4,57.61
2025-05-26,res-1044,Data Science,Networking,us-east-1,38.42,0.0
2025-05-26,res-1045,Production,Compute (EC2/VMs),eu-west-1,32.18,34.42
2025-05-26,res-1046,Production,Compute (EC2/VMs),us-east-1,54.48,24.52
2025-05-26,res-1047,Testing,Compute (EC2/VMs),ap-south-1,146.49,36.45
2025-05-26,res-1048,Production,Networking,ap-south-1,54.6,0.0
2025-05-26,res-1049,Data Science,Database (RDS/SQL),eu-west-1,207.78,49.74
2025-05-26,res-1050,Testing,Compute (EC2/VMs),ap-south-1,85.34,51.15
2025-05-27,res-1001,Testing,Networking,us-east-1,34.63,0.0
2025-05-27,res-1002,Testing,Database (RDS/SQL),ap-south-1,98.81,46.12
2025-05-27,res-1003,Production,Compute (EC2/VMs),eu-west-1,56.5,6.95
2025-05-27,res-1004,Development,Database (RDS/SQL),eu-west-1,211.37,18.86
2025-05-27,res-1005,Testing,Database (RDS/SQL),ap-south-1,387.23,2.11
2025-05-27,res-1006,Production,Networking,ap-south-1,10.77,0.0
2025-05-27,res-1007,Data Science,Database (RDS/SQL),us-west-2,282.08,31.41
2025-05-27,res-1008,Production,Storage (S3/Blob),ap-south-1,38.83,0.0
2025-05-27,res-1009,Data Science,Storage (S3/Blob),us-west-2,38.73,0.0
2025-05-27,res-1010,Development,Networking,ap-south-1,52.65,0.0
2025-05-27,res-1011,Production,Compute (EC2/VMs),ap-south-1,58.28,35.81
2025-05-27,res-1012,Development,Storage (S3/Blob),us-east-1,297.54,1.51
2025-05-27,res-1013,Data Science,Compute (EC2/VMs),us-east-1,92.38,79.89
2025-05-27,res-1014,Testing,Database (RDS/SQL),eu-west-1,224.01,38.5
2025-05-27,res-1015,Development,Networking,ap-south-1,14.86,0.0
2025-05-27,res-1016,Data Science,Networking,eu-west-1,40.75,0.0
2025-05-27,res-1017,Development,Storage (S3/Blob),eu-west-1,39.65,0.0
2025-05-27,res-1018,Development,Database (RDS/SQL),ap-south-1,85.02,35.92
2025-05-27,res-1019,Testing,Networking,ap-south-1,53.87,0.0
2025-05-27,res-1020,Production,Database (RDS/SQL),us-east-1,235.19,44.85
2025-05-27,res-1021,Testing,Database (RDS/SQL),us-east-1,225.62,27.97
2025-05-27,res-1022,Production,Database (RDS/SQL),us-west-2,123.4,50.47
2025-05-27,res-1023,Data Science,Compute (EC2/VMs),ap-south-1,125.31,74.37
2025-05-27,res-1024,Development,Storage (S3/Blob),us-west-2,36.96,0.0
2025-05-27,res-1025,Production,Storage (S3/Blob),us-east-1,22.9,0.0
2025-05-27,res-1026,Development,Networking,ap-south-1,35.08,0.0
2025-05-27,res-1027,Testing,Networking,eu-west-1,49.91,0.0
2025-05-27,res-1028,Data Science,Compute (EC2/VMs),ap-south-1,104.5,61.16
2025-05-27,res-1029,Testing,Database (RDS/SQL),us-west-2,248.95,54.5
2025-05-27,res-1030,Production,Networking,us-west-2,26.9,0.0
2025-05-27,res-1031,Data Science,Networking,us-west-2,28.78,0.0
2025-05-27,res-1032,Development,Storage (S3/Blob),us-west-2,8.29,0.0
2025-05-27,res-1033,Development,Networking,us-west-2,38.91,0.0
2025-05-27,res-1034,Production,Database (RDS/SQL),us-west-2,58.99,33.28
2025-05-27,res-1035,Development,Networking,us-west-2,37.13,0.0
2025-05-27,res-1036,Development,Storage (S3/Blob),ap-south-1,15.03,0.0
2025-05-27,res-1037,Development,Database (RDS/SQL),ap-south-1,197.71,11.53
2025-05-27,res-1038,Testing,Networking,us-west-2,11.87,0.0
2025-05-27,res-1039,Testing,Networking,us-east-1,51.13,0.0
2025-05-27,res-1040,Development,Networking,us-east-1,28.01,0.0
2025-05-27,res-1041,Data Science,Compute (EC2/VMs),us-west-2,36.52,46.78
2025-05-27,res-1042,Testing,Compute (EC2/VMs),ap-south-1,120.1,22.27
2025-05-27,res-1043,Development,Compute (EC2/VMs),ap-south-1,100.98,11.83
2025-05-27,res-1044,Data Science,Networking,us-east-1,12.58,0.0
2025-05-27,res-1045,Production,Compute (EC2/VMs),eu-west-1,89.08,48.25
2025-05-27,res-1046,Production,Compute (EC2/VMs),us-east-1,102.87,63.09
2025-05-27,res-1047,Testing,Compute (EC2/VMs),ap-south-1,146.86,46.3
2025-05-27,res-1048,Production,Networking,ap-south-1,26.15,0.0
2025-05-27,res-1049,Data Science,Database (RDS/SQL),eu-west-1,248.8,23.54
2025-05-27,res-1050,Testing,Compute (EC2/VMs),ap-south-1,77.07,11.28
2025-05-28,res-1001,Testing,Networking,us-east-1,11.27,0.0
2025-05-28,res-1002,Testing,Database (RDS/SQL),ap-south-1,290.66,51.8
2025-05-28,res-1003,Production,Compute (EC2/VMs),eu-west-1,110.48,37.72
2025-05-28,res-1004,Development,Database (RDS/SQL),eu-west-1,93.32,17.82
2025-05-28,res-1005,Testing,Database (RDS/SQL),ap-south-1,357.19,2.98
2025-05-28,res-1006,Production,Networking,ap-south-1,24.0,0.0
2025-05-28,res-1007,Data Science,Database (RDS/SQL),us-west-2,288.72,46.89
2025-05-28,res-1008,Production,Storage (S3/Blob),ap-south-1,24.4,0.0
2025-05-28,res-1009,Data Science,Storage (S3/Blob),us-west-2,26.41,0.0
2025-05-28,res-1010,Development,Networking,ap-south-1,30.98,0.0
2025-05-28,res-1011,Production,Compute (EC2/VMs),ap-south-1,52.21,33.48
2025-05-28,res-1012,Development,Storage (S3/Blob),us-east-1,252.16,1.35
2025-05-28,res-1013,Data Science,Compute (EC2/VMs),us-east-1,25.98,8.26
2025-05-28,res-1014,Testing,Database (RDS/SQL),eu-west-1,263.87,45.18
2025-05-28,res-1015,Development,Networking,ap-south-1,33.71,0.0
2025-05-28,res-1016,Data Science,Networking,eu-west-1,14.89,0.0
2025-05-28,res-1017,Development,Storage (S3/Blob),eu-west-1,22.21,0.0
2025-05-28,res-1018,Development,Database (RDS/SQL),ap-south-1,168.37,18.66
2025-05-28,res-1019,Testing,Networking,ap-south-1,31.69,0.0
2025-05-28,res-1020,Production,Database (RDS/SQL),us-east-1,149.63,40.79
2025-05-28,res-1021,Testing,Database (RDS/SQL),us-east-1,208.77,12.27
2025-05-28,res-1022,Production,Database (RDS/SQL),us-west-2,143.65,41.29
2025-05-28,res-1023,Data Science,Compute (EC2/VMs),ap-south-1,85.41,73.52
2025-05-28,res-1024,Development,Storage (S3/Blob),us-west-2,28.05,0.0
2025-05-28,res-1025,Production,Storage (S3/Blob),us-east-1,10.7,0.0
2025-05-28,res-1026,Development,Networking,ap-south-1,13.53,0.0
2025-05-28,res-1027,Testing,Networking,eu-west-1,42.12,0.0
2025-05-28,res-1028,Data Science,Compute (EC2/VMs),ap-south-1,23.45,51.86
2025-05-28,res-1029,Testing,Database (RDS/SQL),us-west-2,285.06,38.77
2025-05-28,res-1030,Production,Networking,us-west-2,29.41,0.0
2025-05-28,res-1031,Data Science,Networking,us-west-2,42.16,0.0
2025-05-28,res-1032,Development,Storage (S3/Blob),us-west-2,21.04,0.0
2025-05-28,res-1033,Development,Networking,us-west-2,37.28,0.0
2025-05-28,res-1034,Production,Database (RDS/SQL),us-west-2,285.37,29.31
2025-05-28,res-1035,Development,Networking,us-west-2,58.06,0.0
2025-05-28,res-1036,Development,Storage (S3/Blob),ap-south-1,36.69,0.0
2025-05-28,res-1037,Development,Database (RDS/SQL),ap-south-1,98.95,13.47
2025-05-28,res-1038,Testing,Networking,us-west-2,15.04,0.0
2025-05-28,res-1039,Testing,Networking,us-east-1,10.91,0.0
2025-05-28,res-1040,Development,Networking,us-east-1,14.72,0.0
2025-05-28,res-1041,Data Science,Compute (EC2/VMs),us-west-2,108.79,10.7
2025-05-28,res-1042,Testing,Compute (EC2/VMs),ap-south-1,61.47,72.59
2025-05-28,res-1043,Development,Compute (EC2/VMs),ap-south-1,23.03,70.16
2025-05-28,res-1044,Data Science,Networking,us-east-1,24.09,0.0
2025-05-28,res-1045,Production,Compute (EC2/VMs),eu-west-1,35.36,60.74
2025-05-28,res-1046,Production,Compute (EC2/VMs),us-east-1,101.76,75.2
2025-05-28,res-1047,Testing,Compute (EC2/VMs),ap-south-1,115.56,69.28
2025-05-28,res-1048,Production,Networking,ap-south-1,24.1,0.0
2025-05-28,res-1049,Data Science,Database (RDS/SQL),eu-west-1,94.36,47.53
2025-05-28,res-1050,Testing,Compute (EC2/VMs),ap-south-1,124.89,84.24
2025-05-29,res-1001,Testing,Networking,us-east-1,30.63,0.0
2025-05-29,res-1002,Testing,Database (RDS/SQL),ap-south-1,143.0,48.82
2025-05-29,res-1003,Production,Compute (EC2/VMs),eu-west-1,64.3,79.46
2025-05-29,res-1004,Development,Database (RDS/SQL),eu-west-1,264.6,31.45
2025-05-29,res-1005,Testing,Database (RDS/SQL),ap-south-1,265.47,3.71
2025-05-29,res-1006,Production,Networking,ap-south-1,35.26,0.0
2025-05-29,res-1007,Data Science,Database (RDS/SQL),us-west-2,256.61,26.0
2025-05-29,res-1008,Production,Storage (S3/Blob),ap-south-1,36.34,0.0
2025-05-29,res-1009,Data Science,Storage (S3/Blob),us-west-2,18.62,0.0
2025-05-29,res-1010,Development,Networking,ap-south-1,10.54,0.0
2025-05-29,res-1011,Production,Compute (EC2/VMs),ap-south-1,137.7,12.3
2025-05-29,res-1012,Development,Storage (S3/Blob),us-east-1,392.51,3.85
2025-05-29,res-1013,Data Science,Compute (EC2/VMs),us-east-1,94.55,55.55
2025-05-29,res-1014,Testing,Database (RDS/SQL),eu-west-1,162.11,24.66
2025-05-29,res-1015,Development,Networking,ap-south-1,26.43,0.0
2025-05-29,res-1016,Data Science,Networking,eu-west-1,43.63,0.0
2025-05-29,res-1017,Development,Storage (S3/Blob),eu-west-1,31.33,0.0
2025-05-29,res-1018,Development,Database (RDS/SQL),ap-south-1,247.89,49.48
2025-05-29,res-1019,Testing,Networking,ap-south-1,14.56,0.0
2025-05-29,res-1020,Production,Database (RDS/SQL),us-east-1,173.61,12.88
2025-05-29,res-1021,Testing,Database (RDS/SQL),us-east-1,187.38,32.08
2025-05-29,res-1022,Production,Database (RDS/SQL),us-west-2,271.93,27.55
2025-05-29,res-1023,Data Science,Compute (EC2/VMs),ap-south-1,35.22,16.44
2025-05-29,res-1024,Development,Storage (S3/Blob),us-west-2,31.65,0.0
2025-05-29,res-1025,Production,Storage (S3/Blob),us-east-1,26.64,0.0
2025-05-29,res-1026,Development,Networking,ap-south-1,15.06,0.0
2025-05-29,res-1027,Testing,Networking,eu-west-1,14.21,0.0
2025-05-29,res-1028,Data Science,Compute (EC2/VMs),ap-south-1,111.13,10.82
2025-05-29,res-1029,Testing,Database (RDS/SQL),us-west-2,255.47,45.31
2025-05-29,res-1030,Production,Networking,us-west-2,14.07,0.0
2025-05-29,res-1031,Data Science,Networking,us-west-2,14.24,0.0
2025-05-29,res-1032,Development,Storage (S3/Blob),us-west-2,39.53,0.0
2025-05-29,res-1033,Development,Networking,us-west-2,28.71,0.0
2025-05-29,res-1034,Production,Database (RDS/SQL),us-west-2,142.66,50.64
2025-05-29,res-1035,Development,Networking,us-west-2,57.36,0.0
2025-05-29,res-1036,Development,Storage (S3/Blob),ap-south-1,39.51,0.0
2025-05-29,res-1037,Development,Database (RDS/SQL),ap-south-1,238.34,28.81
2025-05-29,res-1038,Testing,Networking,us-west-2,14.18,0.0
2025-05-29,res-1039,Testing,Networking,us-east-1,48.86,0.0
2025-05-29,res-1040,Development,Networking,us-east-1,37.92,0.0
2025-05-29,res-1041,Data Science,Compute (EC2/VMs),us-west-2,75.15,77.51
2025-05-29,res-1042,Testing,Compute (EC2/VMs),ap-south-1,34.46,44.41
2025-05-29,res-1043,Development,Compute (EC2/VMs),ap-south-1,21.48,42.49
2025-05-29,res-1044,Data Science,Networking,us-east-1,12.82,0.0
2025-05-29,res-1045,Production,Compute (EC2/VMs),eu-west-1,35.45,14.4
2025-05-29,res-1046,Production,Compute (EC2/VMs),us-east-1,104.4,64.68
2025-05-29,res-1047,Testing,Compute (EC2/VMs),ap-south-1,95.84,81.97
2025-05-29,res-1048,Production,Networking,ap-south-1,28.74,0.0
2025-05-29,res-1049,Data Science,Database (RDS/SQL),eu-west-1,121.43,53.43
2025-05-29,res-1050,Testing,Compute (EC2/VMs),ap-south-1,49.07,82.06
2025-05-30,res-1001,Testing,Networking,us-east-1,10.61,0.0
2025-05-30,res-1002,Testing,Database (RDS/SQL),ap-south-1,292.47,12.16
2025-05-30,res-1003,Production,Compute (EC2/VMs),eu-west-1,135.85,47.22
2025-05-30,res-1004,Development,Database (RDS/SQL),eu-west-1,298.24,13.69
2025-05-30,res-1005,Testing,Database (RDS/SQL),ap-south-1,328.46,2.89
2025-05-30,res-1006,Production,Networking,ap-south-1,44.79,0.0
2025-05-30,res-1007,Data Science,Database (RDS/SQL),us-west-2,163.64,41.38
2025-05-30,res-1008,Production,Storage (S3/Blob),ap-south-1,25.45,0.0
2025-05-30,res-1009,Data Science,Storage (S3/Blob),us-west-2,36.54,0.0
2025-05-30,res-1010,Development,Networking,ap-south-1,12.27,0.0
2025-05-30,res-1011,Production,Compute (EC2/VMs),ap-south-1,56.53,81.03
2025-05-30,res-1012,Development,Storage (S3/Blob),us-east-1,318.35,2.86
2025-05-30,res-1013,Data Science,Compute (EC2/VMs),us-east-1,56.06,20.05
2025-05-30,res-1014,Testing,Database (RDS/SQL),eu-west-1,165.92,27.67
2025-05-30,res-1015,Development,Networking,ap-south-1,39.18,0.0
2025-05-30,res-1016,Data Science,Networking,eu-west-1,13.89,0.0
2025-05-30,res-1017,Development,Storage (S3/Blob),eu-west-1,39.1,0.0
2025-05-30,res-1018,Development,Database (RDS/SQL),ap-south-1,296.55,44.91
2025-05-30,res-1019,Testing,Networking,ap-south-1,36.8,0.0
2025-05-30,res-1020,Production,Database (RDS/SQL),us-east-1,127.38,50.69
2025-05-30,res-1021,Testing,Database (RDS/SQL),us-east-1,221.18,18.13
2025-05-30,res-1022,Production,Database (RDS/SQL),us-west-2,277.73,51.13
2025-05-30,res-1023,Data Science,Compute (EC2/VMs),ap-south-1,143.47,63.06
2025-05-30,res-1024,Development,Storage (S3/Blob),us-west-2,26.47,0.0
2025-05-30,res-1025,Production,Storage (S3/Blob),us-east-1,19.64,0.0
2025-05-30,res-1026,Development,Networking,ap-south-1,56.64,0.0
2025-05-30,res-1027,Testing,Networking,eu-west-1,53.3,0.0
2025-05-30,res-1028,Data Science,Compute (EC2/VMs),ap-south-1,25.88,7.11
2025-05-30,res-1029,Testing,Database (RDS/SQL),us-west-2,144.12,50.53
2025-05-30,res-1030,Production,Networking,us-west-2,59.36,0.0
2025-05-30,res-1031,Data Science,Networking,us-west-2,17.52,0.0
2025-05-30,res-1032,Development,Storage (S3/Blob),us-west-2,25.79,0.0
2025-05-30,res-1033,Development,Networking,us-west-2,29.04,0.0
2025-05-30,res-1034,Production,Database (RDS/SQL),us-west-2,292.48,52.11
2025-05-30,res-1035,Development,Networking,us-west-2,51.92,0.0
2025-05-30,res-1036,Development,Storage (S3/Blob),ap-south-1,21.4,0.0
2025-05-30,res-1037,Development,Database (RDS/SQL),ap-south-1,153.7,23.67
2025-05-30,res-1038,Testing,Networking,us-west-2,12.82,0.0
2025-05-30,res-1039,Testing,Networking,us-east-1,53.24,0.0
2025-05-30,res-1040,Development,Networking,us-east-1,50.65,0.0
2025-05-30,res-1041,Data Science,Compute (EC2/VMs),us-west-2,149.96,84.73
2025-05-30,res-1042,Testing,Compute (EC2/VMs),ap-south-1,92.21,66.52
2025-05-30,res-1043,Development,Compute (EC2/VMs),ap-south-1,142.82,72.97
2025-05-30,res-1044,Data Science,Networking,us-east-1,22.37,0.0
2025-05-30,res-1045,Production,Compute (EC2/VMs),eu-west-1,78.57,15.33
2025-05-30,res-1046,Production,Compute (EC2/VMs),us-east-1,144.03,53.49
2025-05-30,res-1047,Testing,Compute (EC2/VMs),ap-south-1,49.72,58.74
2025-05-30,res-1048,Production,Networking,ap-south-1,40.91,0.0
2025-05-30,res-1049,Data Science,Database (RDS/SQL),eu-west-1,139.54,15.68
2025-05-30,res-1050,Testing,Compute (EC2/VMs),ap-south-1,107.3,46.62
2025-05-31,res-1001,Testing,Networking,us-east-1,48.62,0.0
2025-05-31,res-1002,Testing,Database (RDS/SQL),ap-south-1,180.04,52.61
2025-05-31,res-1003,Production,Compute (EC2/VMs),eu-west-1,91.75,49.88
2025-05-31,res-1004,Development,Database (RDS/SQL),eu-west-1,269.16,30.17
2025-05-31,res-1005,Testing,Database (RDS/SQL),ap-south-1,363.27,2.86
2025-05-31,res-1006,Production,Networking,ap-south-1,45.2,0.0
2025-05-31,res-1007,Data Science,Database (RDS/SQL),us-west-2,103.24,16.82
2025-05-31,res-1008,Production,Storage (S3/Blob),ap-south-1,5.51,0.0
2025-05-31,res-1009,Data Science,Storage (S3/Blob),us-west-2,17.27,0.0
2025-05-31,res-1010,Development,Networking,ap-south-1,39.5,0.0
2025-05-31,res-1011,Production,Compute (EC2/VMs),ap-south-1,70.99,40.0
2025-05-31,res-1012,Development,Storage (S3/Blob),us-east-1,302.24,2.54
2025-05-31,res-1013,Data Science,Compute (EC2/VMs),us-east-1,121.87,36.72
2025-05-31,res-1014,Testing,Database (RDS/SQL),eu-west-1,205.52,53.12
2025-05-31,res-1015,Development,Networking,ap-south-1,57.48,0.0
2025-05-31,res-1016,Data Science,Networking,eu-west-1,17.35,0.0
2025-05-31,res-1017,Development,Storage (S3/Blob),eu-west-1,37.43,0.0
2025-05-31,res-1018,Development,Database (RDS/SQL),ap-south-1,173.03,22.91
2025-05-31,res-1019,Testing,Networking,ap-south-1,32.96,0.0
2025-05-31,res-1020,Production,Database (RDS/SQL),us-east-1,295.01,34.63
2025-05-31,res-1021,Testing,Database (RDS/SQL),us-east-1,132.19,41.67
2025-05-31,res-1022,Production,Database (RDS/SQL),us-west-2,110.04,13.79
2025-05-31,res-1023,Data Science,Compute (EC2/VMs),ap-south-1,36.75,15.24
2025-05-31,res-1024,Development,Storage (S3/Blob),us-west-2,10.32,0.0
2025-05-31,res-1025,Production,Storage (S3/Blob),us-east-1,9.86,0.0
2025-05-31,res-1026,Development,Networking,ap-south-1,42.04,0.0
2025-05-31,res-1027,Testing,Networking,eu-west-1,19.09,0.0
2025-05-31,res-1028,Data Science,Compute (EC2/VMs),ap-south-1,64.94,76.74
2025-05-31,res-1029,Testing,Database (RDS/SQL),us-west-2,168.49,43.38
2025-05-31,res-1030,Production,Networking,us-west-2,18.62,0.0
2025-05-31,res-1031,Data Science,Networking,us-west-2,19.61,0.0
2025-05-31,res-1032,Development,Storage (S3/Blob),us-west-2,6.43,0.0
2025-05-31,res-1033,Development,Networking,us-west-2,18.45,0.0
2025-05-31,res-1034,Production,Database (RDS/SQL),us-west-2,119.65,18.85
2025-05-31,res-1035,Development,Networking,us-west-2,14.44,0.0
2025-05-31,res-1036,Development,Storage (S3/Blob),ap-south-1,9.22,0.0
2025-05-31,res-1037,Development,Database (RDS/SQL),ap-south-1,165.19,20.32
2025-05-31,res-1038,Testing,Networking,us-west-2,28.21,0.0
2025-05-31,res-1039,Testing,Networking,us-east-1,35.17,0.0
2025-05-31,res-1040,Development,Networking,us-east-1,44.52,0.0
2025-05-31,res-1041,Data Science,Compute (EC2/VMs),us-west-2,25.11,68.95
2025-05-31,res-1042,Testing,Compute (EC2/VMs),ap-south-1,101.63,11.54
2025-05-31,res-1043,Development,Compute (EC2/VMs),ap-south-1,133.57,78.67
2025-05-31,res-1044,Data Science,Networking,us-east-1,13.05,0.0
2025-05-31,res-1045,Production,Compute (EC2/VMs),eu-west-1,55.99,69.5
2025-05-31,res-1046,Production,Compute (EC2/VMs),us-east-1,117.27,19.76
2025-05-31,res-1047,Testing,Compute (EC2/VMs),ap-south-1,47.22,34.64
2025-05-31,res-1048,Production,Networking,ap-south-1,34.23,0.0
2025-05-31,res-1049,Data Science,Database (RDS/SQL),eu-west-1,204.56,28.45
2025-05-31,res-1050,Testing,Compute (EC2/VMs),ap-south-1,80.13,64.8
2025-06-01,res-1001,Testing,Networking,us-east-1,11.83,0.0
2025-06-01,res-1002,Testing,Database (RDS/SQL),ap-south-1,113.11,45.67
2025-06-01,res-1003,Production,Compute (EC2/VMs),eu-west-1,136.38,45.93
2025-06-01,res-1004,Development,Database (RDS/SQL),eu-west-1,183.03,15.36
2025-06-01,res-1005,Testing,Database (RDS/SQL),ap-south-1,286.37,1.81
