log_date,service_name,department,daily_cost,usage_hours
2024-07-19,AWS Cloud Infrastructure,Engineering,184.1,20
2024-07-20,AWS Cloud Infrastructure,Engineering,160.33,18
2024-07-21,AWS Cloud Infrastructure,Engineering,154.25,24
2024-07-22,AWS Cloud Infrastructure,Engineering,184.25,23
2024-07-23,AWS Cloud Infrastructure,Engineering,182.05,24
2024-07-24,AWS Cloud Infrastructure,Engineering,197.83,21
2024-07-25,AWS Cloud Infrastructure,Engineering,191.96,20
2024-07-26,AWS Cloud Infrastructure,Engineering,191.55,20
2024-07-27,AWS Cloud Infrastructure,Engineering,144.81,18
2024-07-28,AWS Cloud Infrastructure,Engineering,146.59,20
2024-07-29,AWS Cloud Infrastructure,Engineering,177.19,20
2024-07-30,AWS Cloud Infrastructure,Engineering,194.06,21
2024-07-31,AWS Cloud Infrastructure,Engineering,183.41,23
2024-08-01,AWS Cloud Infrastructure,Engineering,200.95,22
2024-08-02,AWS Cloud Infrastructure,Engineering,200.0,24
2024-08-03,AWS Cloud Infrastructure,Engineering,153.05,23
2024-08-04,AWS Cloud Infrastructure,Engineering,157.15,22
2024-08-05,AWS Cloud Infrastructure,Engineering,187.21,23
2024-08-06,AWS Cloud Infrastructure,Engineering,193.01,21
2024-08-07,AWS Cloud Infrastructure,Engineering,196.2,20
2024-08-08,AWS Cloud Infrastructure,Engineering,172.51,19
2024-08-09,AWS Cloud Infrastructure,Engineering,204.52,19
2024-08-10,AWS Cloud Infrastructure,Engineering,153.77,24
2024-08-11,AWS Cloud Infrastructure,Engineering,171.78,19
2024-08-12,AWS Cloud Infrastructure,Engineering,200.33,18
2024-08-13,AWS Cloud Infrastructure,Engineering,179.31,20
2024-08-14,AWS Cloud Infrastructure,Engineering,180.89,24
2024-08-15,AWS Cloud Infrastructure,Engineering,178.69,23
2024-08-16,AWS Cloud Infrastructure,Engineering,178.97,23
2024-08-17,AWS Cloud Infrastructure,Engineering,170.1,21
2024-08-18,AWS Cloud Infrastructure,Engineering,170.56,20
2024-08-19,AWS Cloud Infrastructure,Engineering,197.91,19
2024-08-20,AWS Cloud Infrastructure,Engineering,206.22,18
2024-08-21,AWS Cloud Infrastructure,Engineering,208.82,18
2024-08-22,AWS Cloud Infrastructure,Engineering,169.85,22
2024-08-23,AWS Cloud Infrastructure,Engineering,206.67,24
2024-08-24,AWS Cloud Infrastructure,Engineering,156.76,21
2024-08-25,AWS Cloud Infrastructure,Engineering,159.92,19
2024-08-26,AWS Cloud Infrastructure,Engineering,211.73,18
2024-08-27,AWS Cloud Infrastructure,Engineering,177.02,19
2024-08-28,AWS Cloud Infrastructure,Engineering,195.46,24
2024-08-29,AWS Cloud Infrastructure,Engineering,186.0,22
2024-08-30,AWS Cloud Infrastructure,Engineering,201.78,23
2024-08-31,AWS Cloud Infrastructure,Engineering,156.73,19
2024-09-01,AWS Cloud Infrastructure,Engineering,163.2,23
2024-09-02,AWS Cloud Infrastructure,Engineering,210.09,20
2024-09-03,AWS Cloud Infrastructure,Engineering,205.36,23
2024-09-04,AWS Cloud Infrastructure,Engineering,188.4,22
2024-09-05,AWS Cloud Infrastructure,Engineering,200.44,19
2024-09-06,AWS Cloud Infrastructure,Engineering,207.5,18
2024-09-07,AWS Cloud Infrastructure,Engineering,179.41,23
2024-09-08,AWS Cloud Infrastructure,Engineering,167.94,21
2024-09-09,AWS Cloud Infrastructure,Engineering,187.29,23
2024-09-10,AWS Cloud Infrastructure,Engineering,197.16,20
2024-09-11,AWS Cloud Infrastructure,Engineering,206.28,24
2024-09-12,AWS Cloud Infrastructure,Engineering,191.2,22
2024-09-13,AWS Cloud Infrastructure,Engineering,206.22,18
2024-09-14,AWS Cloud Infrastructure,Engineering,153.1,21
2024-09-15,AWS Cloud Infrastructure,Engineering,170.77,22
2024-09-16,AWS Cloud Infrastructure,Engineering,190.52,19
2024-09-17,AWS Cloud Infrastructure,Engineering,204.52,24
2024-09-18,AWS Cloud Infrastructure,Engineering,180.63,23
2024-09-19,AWS Cloud Infrastructure,Engineering,179.85,18
2024-09-20,AWS Cloud Infrastructure,Engineering,184.62,18
2024-09-21,AWS Cloud Infrastructure,Engineering,155.36,22
2024-09-22,AWS Cloud Infrastructure,Engineering,146.0,22
2024-09-23,AWS Cloud Infrastructure,Engineering,209.04,18
2024-09-24,AWS Cloud Infrastructure,Engineering,198.21,23
2024-09-25,AWS Cloud Infrastructure,Engineering,208.3,24
2024-09-26,AWS Cloud Infrastructure,Engineering,195.99,20
2024-09-27,AWS Cloud Infrastructure,Engineering,185.5,19
2024-09-28,AWS Cloud Infrastructure,Engineering,145.73,21
2024-09-29,AWS Cloud Infrastructure,Engineering,157.9,23
2024-09-30,AWS Cloud Infrastructure,Engineering,221.63,24
2024-10-01,AWS Cloud Infrastructure,Engineering,184.01,23
2024-10-02,AWS Cloud Infrastructure,Engineering,210.32,19
2024-10-03,AWS Cloud Infrastructure,Engineering,215.49,22
2024-10-04,AWS Cloud Infrastructure,Engineering,200.63,18
2024-10-05,AWS Cloud Infrastructure,Engineering,177.66,20
2024-10-06,AWS Cloud Infrastructure,Engineering,167.44,24
2024-10-07,AWS Cloud Infrastructure,Engineering,210.85,21
2024-10-08,AWS Cloud Infrastructure,Engineering,205.65,24
2024-10-09,AWS Cloud Infrastructure,Engineering,200.09,24
2024-10-10,AWS Cloud Infrastructure,Engineering,197.19,19
2024-10-11,AWS Cloud Infrastructure,Engineering,205.26,18
2024-10-12,AWS Cloud Infrastructure,Engineering,164.35,21
2024-10-13,AWS Cloud Infrastructure,Engineering,162.13,18
2024-10-14,AWS Cloud Infrastructure,Engineering,202.27,23
2024-10-15,AWS Cloud Infrastructure,Engineering,215.32,20
2024-10-16,AWS Cloud Infrastructure,Engineering,183.77,21
2024-10-17,AWS Cloud Infrastructure,Engineering,211.64,21
2024-10-18,AWS Cloud Infrastructure,Engineering,207.39,22
2024-10-19,AWS Cloud Infrastructure,Engineering,161.15,19
2024-10-20,AWS Cloud Infrastructure,Engineering,168.45,23
2024-10-21,AWS Cloud Infrastructure,Engineering,199.13,21
2024-10-22,AWS Cloud Infrastructure,Engineering,189.54,20
2024-10-23,AWS Cloud Infrastructure,Engineering,222.82,24
2024-10-24,AWS Cloud Infrastructure,Engineering,203.89,22
2024-10-25,AWS Cloud Infrastructure,Engineering,211.64,23
2024-10-26,AWS Cloud Infrastructure,Engineering,160.63,18
2024-10-27,AWS Cloud Infrastructure,Engineering,165.46,21
2024-10-28,AWS Cloud Infrastructure,Engineering,188.46,18
2024-10-29,AWS Cloud Infrastructure,Engineering,202.82,21
2024-10-30,AWS Cloud Infrastructure,Engineering,191.74,20
2024-10-31,AWS Cloud Infrastructure,Engineering,186.15,21
2024-11-01,AWS Cloud Infrastructure,Engineering,222.62,20
2024-11-02,AWS Cloud Infrastructure,Engineering,160.91,22
2024-11-03,AWS Cloud Infrastructure,Engineering,183.19,19
2024-11-04,AWS Cloud Infrastructure,Engineering,213.94,20
2024-11-05,AWS Cloud Infrastructure,Engineering,216.74,24
2024-11-06,AWS Cloud Infrastructure,Engineering,194.33,21
2024-11-07,AWS Cloud Infrastructure,Engineering,195.75,21
2024-11-08,AWS Cloud Infrastructure,Engineering,198.88,19
2024-11-09,AWS Cloud Infrastructure,Engineering,168.16,18
2024-11-10,AWS Cloud Infrastructure,Engineering,175.1,19
2024-11-11,AWS Cloud Infrastructure,Engineering,198.29,20
2024-11-12,AWS Cloud Infrastructure,Engineering,201.87,22
2024-11-13,AWS Cloud Infrastructure,Engineering,208.41,20
2024-11-14,AWS Cloud Infrastructure,Engineering,226.14,23
2024-11-15,AWS Cloud Infrastructure,Engineering,221.6,18
2024-11-16,AWS Cloud Infrastructure,Engineering,167.45,21
2024-11-17,AWS Cloud Infrastructure,Engineering,172.77,22
2024-11-18,AWS Cloud Infrastructure,Engineering,210.48,22
2024-11-19,AWS Cloud Infrastructure,Engineering,201.51,20
2024-11-20,AWS Cloud Infrastructure,Engineering,197.27,18
2024-11-21,AWS Cloud Infrastructure,Engineering,198.24,22
2024-11-22,AWS Cloud Infrastructure,Engineering,211.77,21
2024-11-23,AWS Cloud Infrastructure,Engineering,179.41,18
2024-11-24,AWS Cloud Infrastructure,Engineering,159.13,20
2024-11-25,AWS Cloud Infrastructure,Engineering,207.06,24
2024-11-26,AWS Cloud Infrastructure,Engineering,204.27,22
2024-11-27,AWS Cloud Infrastructure,Engineering,201.57,21
2024-11-28,AWS Cloud Infrastructure,Engineering,199.82,24
2024-11-29,AWS Cloud Infrastructure,Engineering,207.26,23
2024-11-30,AWS Cloud Infrastructure,Engineering,194.34,18
2024-12-01,AWS Cloud Infrastructure,Engineering,172.5,24
2024-12-02,AWS Cloud Infrastructure,Engineering,215.82,19
2024-12-03,AWS Cloud Infrastructure,Engineering,212.37,18
2024-12-04,AWS Cloud Infrastructure,Engineering,204.94,19
2024-12-05,AWS Cloud Infrastructure,Engineering,216.97,19
2024-12-06,AWS Cloud Infrastructure,Engineering,214.71,22
2024-12-07,AWS Cloud Infrastructure,Engineering,173.81,18
2024-12-08,AWS Cloud Infrastructure,Engineering,195.76,20
2024-12-09,AWS Cloud Infrastructure,Engineering,221.4,24
2024-12-10,AWS Cloud Infrastructure,Engineering,200.19,19
2024-12-11,AWS Cloud Infrastructure,Engineering,206.42,21
2024-12-12,AWS Cloud Infrastructure,Engineering,204.58,21
2024-12-13,AWS Cloud Infrastructure,Engineering,217.8,20
2024-12-14,AWS Cloud Infrastructure,Engineering,189.06,19
2024-12-15,AWS Cloud Infrastructure,Engineering,176.67,21
2024-12-16,AWS Cloud Infrastructure,Engineering,212.67,19
2024-12-17,AWS Cloud Infrastructure,Engineering,220.23,24
2024-12-18,AWS Cloud Infrastructure,Engineering,208.2,22
2024-12-19,AWS Cloud Infrastructure,Engineering,218.74,19
2024-12-20,AWS Cloud Infrastructure,Engineering,214.14,19
2024-12-21,AWS Cloud Infrastructure,Engineering,173.33,24
2024-12-22,AWS Cloud Infrastructure,Engineering,170.09,19
2024-12-23,AWS Cloud Infrastructure,Engineering,201.44,23
2024-12-24,AWS Cloud Infrastructure,Engineering,225.51,19
2024-12-25,AWS Cloud Infrastructure,Engineering,206.44,23
2024-12-26,AWS Cloud Infrastructure,Engineering,231.28,18
2024-12-27,AWS Cloud Infrastructure,Engineering,211.07,18
2024-12-28,AWS Cloud Infrastructure,Engineering,199.19,19
2024-12-29,AWS Cloud Infrastructure,Engineering,185.79,22
2024-12-30,AWS Cloud Infrastructure,Engineering,215.46,20
2024-12-31,AWS Cloud Infrastructure,Engineering,217.43,24
2025-01-01,AWS Cloud Infrastructure,Engineering,195.1,23
2025-01-02,AWS Cloud Infrastructure,Engineering,221.23,24
2025-01-03,AWS Cloud Infrastructure,Engineering,197.08,23
2025-01-04,AWS Cloud Infrastructure,Engineering,193.78,21
2025-01-05,AWS Cloud Infrastructure,Engineering,196.01,23
2025-01-06,AWS Cloud Infrastructure,Engineering,194.48,21
2025-01-07,AWS Cloud Infrastructure,Engineering,210.6,21
2025-01-08,AWS Cloud Infrastructure,Engineering,212.78,19
2025-01-09,AWS Cloud Infrastructure,Engineering,216.24,19
2025-01-10,AWS Cloud Infrastructure,Engineering,201.35,21
2025-01-11,AWS Cloud Infrastructure,Engineering,161.88,20
2025-01-12,AWS Cloud Infrastructure,Engineering,187.39,20
2025-01-13,AWS Cloud Infrastructure,Engineering,201.83,22
2025-01-14,AWS Cloud Infrastructure,Engineering,197.67,22
2025-01-15,AWS Cloud Infrastructure,Engineering,216.32,22
2025-01-16,AWS Cloud Infrastructure,Engineering,207.64,19
2025-01-17,AWS Cloud Infrastructure,Engineering,213.27,20
2025-01-18,AWS Cloud Infrastructure,Engineering,195.62,22
2025-01-19,AWS Cloud Infrastructure,Engineering,184.3,24
2025-01-20,AWS Cloud Infrastructure,Engineering,208.48,21
2025-01-21,AWS Cloud Infrastructure,Engineering,200.09,20
2025-01-22,AWS Cloud Infrastructure,Engineering,218.27,19
2025-01-23,AWS Cloud Infrastructure,Engineering,221.83,20
2025-01-24,AWS Cloud Infrastructure,Engineering,219.36,21
2025-01-25,AWS Cloud Infrastructure,Engineering,176.55,24
2025-01-26,AWS Cloud Infrastructure,Engineering,191.45,24
2025-01-27,AWS Cloud Infrastructure,Engineering,218.29,24
2025-01-28,AWS Cloud Infrastructure,Engineering,216.59,19
2025-01-29,AWS Cloud Infrastructure,Engineering,218.04,22
2025-01-30,AWS Cloud Infrastructure,Engineering,213.09,20
2025-01-31,AWS Cloud Infrastructure,Engineering,213.42,20
2025-02-01,AWS Cloud Infrastructure,Engineering,177.58,22
2025-02-02,AWS Cloud Infrastructure,Engineering,193.53,19
2025-02-03,AWS Cloud Infrastructure,Engineering,215.89,19
2025-02-04,AWS Cloud Infrastructure,Engineering,207.98,24
2025-02-05,AWS Cloud Infrastructure,Engineering,233.06,20
2025-02-06,AWS Cloud Infrastructure,Engineering,228.41,18
2025-02-07,AWS Cloud Infrastructure,Engineering,221.6,22
2025-02-08,AWS Cloud Infrastructure,Engineering,176.0,19
2025-02-09,AWS Cloud Infrastructure,Engineering,190.72,18
2025-02-10,AWS Cloud Infrastructure,Engineering,232.39,21
2025-02-11,AWS Cloud Infrastructure,Engineering,223.23,21
2025-02-12,AWS Cloud Infrastructure,Engineering,230.24,21
2025-02-13,AWS Cloud Infrastructure,Engineering,217.02,23
2025-02-14,AWS Cloud Infrastructure,Engineering,210.1,18
2025-02-15,AWS Cloud Infrastructure,Engineering,172.61,19
2025-02-16,AWS Cloud Infrastructure,Engineering,194.71,19
2025-02-17,AWS Cloud Infrastructure,Engineering,213.0,23
2025-02-18,AWS Cloud Infrastructure,Engineering,212.62,18
2025-02-19,AWS Cloud Infrastructure,Engineering,227.93,23
2025-02-20,AWS Cloud Infrastructure,Engineering,214.37,20
2025-02-21,AWS Cloud Infrastructure,Engineering,218.99,18
2025-02-22,AWS Cloud Infrastructure,Engineering,194.42,24
2025-02-23,AWS Cloud Infrastructure,Engineering,196.5,20
2025-02-24,AWS Cloud Infrastructure,Engineering,217.3,20
2025-02-25,AWS Cloud Infrastructure,Engineering,223.54,24
2025-02-26,AWS Cloud Infrastructure,Engineering,211.9,19
2025-02-27,AWS Cloud Infrastructure,Engineering,208.29,24
2025-02-28,AWS Cloud Infrastructure,Engineering,220.4,18
2025-03-01,AWS Cloud Infrastructure,Engineering,185.75,20
2025-03-02,AWS Cloud Infrastructure,Engineering,183.64,24
2025-03-03,AWS Cloud Infrastructure,Engineering,215.42,23
2025-03-04,AWS Cloud Infrastructure,Engineering,229.03,18
2025-03-05,AWS Cloud Infrastructure,Engineering,231.38,21
2025-03-06,AWS Cloud Infrastructure,Engineering,230.96,21
2025-03-07,AWS Cloud Infrastructure,Engineering,231.02,22
2025-03-08,AWS Cloud Infrastructure,Engineering,185.89,18
2025-03-09,AWS Cloud Infrastructure,Engineering,186.35,20
2025-03-10,AWS Cloud Infrastructure,Engineering,221.07,21
2025-03-11,AWS Cloud Infrastructure,Engineering,216.69,23
2025-03-12,AWS Cloud Infrastructure,Engineering,218.16,21
2025-03-13,AWS Cloud Infrastructure,Engineering,212.7,21
2025-03-14,AWS Cloud Infrastructure,Engineering,228.49,20
2025-03-15,AWS Cloud Infrastructure,Engineering,185.35,19
2025-03-16,AWS Cloud Infrastructure,Engineering,183.13,23
2025-03-17,AWS Cloud Infrastructure,Engineering,210.63,24
2025-03-18,AWS Cloud Infrastructure,Engineering,218.1,19
2025-03-19,AWS Cloud Infrastructure,Engineering,218.06,22
2025-03-20,AWS Cloud Infrastructure,Engineering,233.95,23
2025-03-21,AWS Cloud Infrastructure,Engineering,221.83,20
2025-03-22,AWS Cloud Infrastructure,Engineering,193.82,18
2025-03-23,AWS Cloud Infrastructure,Engineering,200.26,18
2025-03-24,AWS Cloud Infrastructure,Engineering,227.05,22
2025-03-25,AWS Cloud Infrastructure,Engineering,219.35,18
2025-03-26,AWS Cloud Infrastructure,Engineering,247.12,24
2025-03-27,AWS Cloud Infrastructure,Engineering,225.87,20
2025-03-28,AWS Cloud Infrastructure,Engineering,231.25,24
2025-03-29,AWS Cloud Infrastructure,Engineering,187.95,21
2025-03-30,AWS Cloud Infrastructure,Engineering,184.28,19
2025-03-31,AWS Cloud Infrastructure,Engineering,237.17,19
2025-04-01,AWS Cloud Infrastructure,Engineering,224.9,24
2025-04-02,AWS Cloud Infrastructure,Engineering,211.53,24
2025-04-03,AWS Cloud Infrastructure,Engineering,230.32,22
2025-04-04,AWS Cloud Infrastructure,Engineering,221.63,18
2025-04-05,AWS Cloud Infrastructure,Engineering,185.76,21
2025-04-06,AWS Cloud Infrastructure,Engineering,185.58,24
2025-04-07,AWS Cloud Infrastructure,Engineering,205.84,21
2025-04-08,AWS Cloud Infrastructure,Engineering,235.71,19
2025-04-09,AWS Cloud Infrastructure,Engineering,230.08,20
2025-04-10,AWS Cloud Infrastructure,Engineering,218.31,20
2025-04-11,AWS Cloud Infrastructure,Engineering,236.7,18
2025-04-12,AWS Cloud Infrastructure,Engineering,202.83,24
2025-04-13,AWS Cloud Infrastructure,Engineering,200.04,22
2025-04-14,AWS Cloud Infrastructure,Engineering,229.5,22
2025-04-15,AWS Cloud Infrastructure,Engineering,222.27,23
2025-04-16,AWS Cloud Infrastructure,Engineering,232.2,23
2025-04-17,AWS Cloud Infrastructure,Engineering,246.86,21
2025-04-18,AWS Cloud Infrastructure,Engineering,227.54,19
2025-04-19,AWS Cloud Infrastructure,Engineering,204.18,19
2025-04-20,AWS Cloud Infrastructure,Engineering,194.97,23
2025-04-21,AWS Cloud Infrastructure,Engineering,213.07,18
2025-04-22,AWS Cloud Infrastructure,Engineering,219.01,20
2025-04-23,AWS Cloud Infrastructure,Engineering,225.7,22
2025-04-24,AWS Cloud Infrastructure,Engineering,232.42,22
2025-04-25,AWS Cloud Infrastructure,Engineering,232.17,19
2025-04-26,AWS Cloud Infrastructure,Engineering,201.88,22
2025-04-27,AWS Cloud Infrastructure,Engineering,204.63,21
2025-04-28,AWS Cloud Infrastructure,Engineering,225.68,21
2025-04-29,AWS Cloud Infrastructure,Engineering,222.54,19
2025-04-30,AWS Cloud Infrastructure,Engineering,221.57,22
2025-05-01,AWS Cloud Infrastructure,Engineering,221.38,19
2025-05-02,AWS Cloud Infrastructure,Engineering,226.63,24
2025-05-03,AWS Cloud Infrastructure,Engineering,200.25,19
2025-05-04,AWS Cloud Infrastructure,Engineering,206.68,18
2025-05-05,AWS Cloud Infrastructure,Engineering,239.25,19
2025-05-06,AWS Cloud Infrastructure,Engineering,222.75,20
2025-05-07,AWS Cloud Infrastructure,Engineering,243.66,21
2025-05-08,AWS Cloud Infrastructure,Engineering,217.15,22
2025-05-09,AWS Cloud Infrastructure,Engineering,231.51,20
2025-05-10,AWS Cloud Infrastructure,Engineering,193.07,21
2025-05-11,AWS Cloud Infrastructure,Engineering,202.34,19
2025-05-12,AWS Cloud Infrastructure,Engineering,237.22,22
2025-05-13,AWS Cloud Infrastructure,Engineering,248.08,22
2025-05-14,AWS Cloud Infrastructure,Engineering,226.71,21
2025-05-15,AWS Cloud Infrastructure,Engineering,228.14,24
2025-05-16,AWS Cloud Infrastructure,Engineering,250.99,22
2025-05-17,AWS Cloud Infrastructure,Engineering,202.63,20
2025-05-18,AWS Cloud Infrastructure,Engineering,211.23,22
2025-05-19,AWS Cloud Infrastructure,Engineering,255.88,21
2025-05-20,AWS Cloud Infrastructure,Engineering,217.38,18
2025-05-21,AWS Cloud Infrastructure,Engineering,218.88,20
2025-05-22,AWS Cloud Infrastructure,Engineering,239.3,20
2025-05-23,AWS Cloud Infrastructure,Engineering,230.02,22
2025-05-24,AWS Cloud Infrastructure,Engineering,203.85,19
2025-05-25,AWS Cloud Infrastructure,Engineering,202.8,23
2025-05-26,AWS Cloud Infrastructure,Engineering,233.36,24
2025-05-27,AWS Cloud Infrastructure,Engineering,236.13,22
2025-05-28,AWS Cloud Infrastructure,Engineering,223.62,20
2025-05-29,AWS Cloud Infrastructure,Engineering,224.85,18
2025-05-30,AWS Cloud Infrastructure,Engineering,233.7,22
2025-05-31,AWS Cloud Infrastructure,Engineering,213.68,22
2025-06-01,AWS Cloud Infrastructure,Engineering,201.57,24
2025-06-02,AWS Cloud Infrastructure,Engineering,236.82,21
2025-06-03,AWS Cloud Infrastructure,Engineering,236.4,20
2025-06-04,AWS Cloud Infrastructure,Engineering,245.58,21
2025-06-05,AWS Cloud Infrastructure,Engineering,230.29,22
2025-06-06,AWS Cloud Infrastructure,Engineering,216.58,18
2025-06-07,AWS Cloud Infrastructure,Engineering,220.93,23
2025-06-08,AWS Cloud Infrastructure,Engineering,208.7,22
2025-06-09,AWS Cloud Infrastructure,Engineering,236.08,21
2025-06-10,AWS Cloud Infrastructure,Engineering,223.03,24
2025-06-11,AWS Cloud Infrastructure,Engineering,232.03,23
2025-06-12,AWS Cloud Infrastructure,Engineering,235.74,18
2025-06-13,AWS Cloud Infrastructure,Engineering,238.69,19
2025-06-14,AWS Cloud Infrastructure,Engineering,214.13,23
2025-06-15,AWS Cloud Infrastructure,Engineering,193.69,21
2025-06-16,AWS Cloud Infrastructure,Engineering,224.1,18
2025-06-17,AWS Cloud Infrastructure,Engineering,222.04,22
2025-06-18,AWS Cloud Infrastructure,Engineering,238.23,20
2025-06-19,AWS Cloud Infrastructure,Engineering,251.12,23
2025-06-20,AWS Cloud Infrastructure,Engineering,239.62,21
2025-06-21,AWS Cloud Infrastructure,Engineering,219.31,19
2025-06-22,AWS Cloud Infrastructure,Engineering,202.51,18
2025-06-23,AWS Cloud Infrastructure,Engineering,239.93,20
2025-06-24,AWS Cloud Infrastructure,Engineering,241.76,21
2025-06-25,AWS Cloud Infrastructure,Engineering,253.51,21
2025-06-26,AWS Cloud Infrastructure,Engineering,225.89,20
2025-06-27,AWS Cloud Infrastructure,Engineering,236.09,22
2025-06-28,AWS Cloud Infrastructure,Engineering,198.96,22
2025-06-29,AWS Cloud Infrastructure,Engineering,217.62,22
2025-06-30,AWS Cloud Infrastructure,Engineering,235.45,24
2025-07-01,AWS Cloud Infrastructure,Engineering,250.71,18
2025-07-02,AWS Cloud Infrastructure,Engineering,241.0,19
2025-07-03,AWS Cloud Infrastructure,Engineering,254.44,18
2025-07-04,AWS Cloud Infrastructure,Engineering,260.08,24
2025-07-05,AWS Cloud Infrastructure,Engineering,211.77,18
2025-07-06,AWS Cloud Infrastructure,Engineering,210.87,22
2025-07-07,AWS Cloud Infrastructure,Engineering,244.44,22
2025-07-08,AWS Cloud Infrastructure,Engineering,245.82,18
2025-07-09,AWS Cloud Infrastructure,Engineering,251.08,18
2025-07-10,AWS Cloud Infrastructure,Engineering,251.7,24
2025-07-11,AWS Cloud Infrastructure,Engineering,258.93,18
2025-07-12,AWS Cloud Infrastructure,Engineering,211.27,19
2025-07-13,AWS Cloud Infrastructure,Engineering,193.21,21
2025-07-14,AWS Cloud Infrastructure,Engineering,249.66,20
2025-07-15,AWS Cloud Infrastructure,Engineering,239.43,22
2025-07-16,AWS Cloud Infrastructure,Engineering,234.42,24
2025-07-17,AWS Cloud Infrastructure,Engineering,249.93,24
2025-07-18,AWS Cloud Infrastructure,Engineering,247.54,19
2025-07-19,AWS Cloud Infrastructure,Engineering,210.59,24
2025-07-20,AWS Cloud Infrastructure,Engineering,212.3,22
2025-07-21,AWS Cloud Infrastructure,Engineering,248.55,22
2025-07-22,AWS Cloud Infrastructure,Engineering,233.63,21
2025-07-23,AWS Cloud Infrastructure,Engineering,226.1,19
2025-07-24,AWS Cloud Infrastructure,Engineering,238.29,18
2025-07-25,AWS Cloud Infrastructure,Engineering,236.28,22
2025-07-26,AWS Cloud Infrastructure,Engineering,216.68,18
2025-07-27,AWS Cloud Infrastructure,Engineering,223.78,19
2025-07-28,AWS Cloud Infrastructure,Engineering,240.28,22
2025-07-29,AWS Cloud Infrastructure,Engineering,254.42,22
2025-07-30,AWS Cloud Infrastructure,Engineering,245.26,23
2025-07-31,AWS Cloud Infrastructure,Engineering,248.65,18
2025-08-01,AWS Cloud Infrastructure,Engineering,252.72,23
2025-08-02,AWS Cloud Infrastructure,Engineering,203.04,21
2025-08-03,AWS Cloud Infrastructure,Engineering,219.51,20
